date,lat_bin,lon_bin,flag,geartype,vessel_hours,fishing_hours,mmsi_present
2012-01-22,-4608,-6178,ARG,trawlers,0.79583333333333339,0,1
2012-01-22,-4608,-6605,ARG,fixed_gear,0.84569444444444453,0,1
2012-01-22,-4608,-6606,ARG,fixed_gear,5.0266666666666673,0,1
2012-01-22,-4096,-6490,ARG,trawlers,0.53847222222222224,0,1
2012-01-22,-4607,-6603,ARG,fixed_gear,0.9209722222222223,0,1
2012-01-22,-4607,-6178,ARG,trawlers,0.78763888888888889,0,1
2012-01-22,-4606,-6616,ARG,fixed_gear,0.76388888888888884,0,1
2012-01-22,-4094,-5956,ARG,trawlers,0.84611111111111115,0,1
2012-01-22,-3838,-5751,ARG,trawlers,0.5593055555555555,0,1
2012-01-22,-4605,-6612,ARG,fixed_gear,0.79999999999999993,0,1
2012-01-22,-4093,-5972,ARG,trawlers,0.3347222222222222,0,1
2012-01-22,-4093,-5971,ARG,trawlers,0.056944444444444443,0,1
2012-01-22,-4093,-5999,ARG,trawlers,6.5,0,1
2012-01-22,-3325,-5841,ARG,trawlers,0.90708333333333335,0,1
2012-01-22,-4604,-6612,ARG,fixed_gear,4.6297222222222221,0,1
2012-01-22,-3836,-5751,ARG,trawlers,0.28236111111111112,0,1
2012-01-22,-3324,-5841,ARG,trawlers,0.97513888888888889,0,1
2012-01-22,-4603,-6616,ARG,fixed_gear,0.27944444444444444,0,1
2012-01-22,-4091,-5970,ARG,trawlers,5.0256944444444445,0,1
2012-01-22,-4091,-5998,ARG,trawlers,7.775,0,1
2012-01-22,-4602,-6616,ARG,fixed_gear,0.80569444444444449,0,1
2012-01-22,-3833,-5766,ARG,trawlers,0.79069444444444448,0,1
2012-01-22,-4600,-6641,ARG,fixed_gear,0.8,0,1
2012-01-22,-4600,-6628,ARG,fixed_gear,0.058333333333333327,0,1
2012-01-22,-4600,-6616,ARG,fixed_gear,1.5972222222222221,0,1
2012-01-22,-4600,-6629,ARG,fixed_gear,1.5558333333333334,0,1
2012-01-22,-4344,-5897,ARG,trawlers,0.058194444444444444,0,1
2012-01-22,-4344,-5898,ARG,trawlers,0.76694444444444443,0,1
2012-01-22,-3832,-5766,ARG,trawlers,0.85805555555555546,0,1
2012-01-22,-4599,-6641,ARG,fixed_gear,0.77208333333333334,0,1
2012-01-22,-4599,-6181,ARG,trawlers,4.4945833333333338,0,1
2012-01-22,-4598,-6633,ARG,fixed_gear,0.8634722222222222,0,1
2012-01-22,-4598,-6176,ARG,trawlers,1.5719444444444446,1.5719444444444446,1
2012-01-22,-4342,-5897,ARG,trawlers,0.80277777777777781,0,1
2012-01-22,-4597,-6633,ARG,fixed_gear,0.73625,0,1
2012-01-22,-4085,-5947,ARG,trawlers,0.028888888888888888,0,1
2012-01-22,-4085,-5948,ARG,trawlers,0.3502777777777778,0,1
2012-01-22,-4596,-6172,ARG,trawlers,0.77361111111111114,0,1
2012-01-22,-4596,-6182,ARG,trawlers,1.5709722222222222,0,1
2012-01-22,-4596,-6173,ARG,trawlers,0.77527777777777773,0.77527777777777773,1
2012-01-22,-4596,-6027,ARG,trawlers,2.899861111111111,0,1
2012-01-22,-4084,-6493,ARG,trawlers,0.77069444444444446,0,1
2012-01-22,-4084,-5947,ARG,trawlers,5.0166666666666657,0,1
2012-01-22,-3828,-5749,ARG,trawlers,0.24597222222222223,0,1
2012-01-22,-4595,-6172,ARG,trawlers,2.1006944444444442,0,1
2012-01-22,-4595,-6173,ARG,trawlers,2.1377777777777776,2.1377777777777776,1
2012-01-22,-3827,-5759,ARG,trawlers,2.9215277777777775,0,1
2012-01-22,-3827,-5749,ARG,trawlers,0.6399999999999999,0,1
2012-01-22,-3826,-5759,ARG,trawlers,0.78888888888888886,0,1
2012-01-22,-4593,-6170,ARG,trawlers,4.5004166666666672,0,1
2012-01-22,-4080,-6489,ARG,trawlers,57.749861111111116,0,3
2012-01-22,-4591,-6626,ARG,fixed_gear,6.2018055555555556,0,1
2012-01-22,-4334,-6385,ARG,drifting_longlines,2.8504166666666668,0,1
2012-01-22,-4589,-6164,ARG,trawlers,3.6686111111111108,0,1
2012-01-22,-4589,-6185,ARG,trawlers,7.0395833333333329,0,1
2012-01-22,-4588,-6623,ARG,fixed_gear,2.8843055555555557,0,1
2012-01-22,-4587,-6183,ARG,trawlers,5.064861111111111,0,1
2012-01-22,-4586,-6176,ARG,trawlers,5.4101388888888895,5.4101388888888895,1
2012-01-22,-4586,-6178,ARG,trawlers,1.4602777777777778,0,1
2012-01-22,-4074,-6015,ARG,drifting_longlines,5.075,0,1
2012-01-22,-4073,-6014,ARG,drifting_longlines,0.81805555555555554,0,1
2012-01-22,-3561,-5530,ARG,trawlers,7.5254166666666666,0,1
2012-01-22,-4072,-5799,ARG,trawlers,1.3597222222222223,0,1
2012-01-22,-3816,-5746,ARG,trawlers,7.1847222222222218,0,1
2012-01-22,-4583,-6186,ARG,trawlers,2.8951388888888889,0,1
2012-01-22,-4071,-5799,ARG,trawlers,0.79180555555555554,0,1
2012-01-22,-4582,-6186,ARG,trawlers,0.80875,0,1
2012-01-22,-4579,-6160,ARG,trawlers,1.5620833333333333,0,1
2012-01-22,-4323,-5943,ARG,trawlers,6.2252777777777775,0,1
2012-01-22,-3810,-5752,ARG,trawlers,5.75,0,1
2012-01-22,-4577,-6164,ARG,trawlers,0.81361111111111117,0,1
2012-01-22,-4577,-6047,ARG,trawlers,1.6040277777777776,1.6040277777777776,1
2012-01-22,-4576,-6164,ARG,trawlers,0.79486111111111113,0,1
2012-01-22,-4576,-6047,ARG,trawlers,1.6211111111111112,1.6211111111111112,1
2012-01-22,-3808,-5752,ARG,trawlers,0.052777777777777778,0,1
2012-01-22,-4574,-6044,ARG,trawlers,5.388472222222223,5.388472222222223,1
2012-01-22,-3806,-5752,ARG,trawlers,1.6016666666666666,0,1
2012-01-22,-4573,-6042,ARG,trawlers,0.79583333333333328,0.79583333333333328,1
2012-01-22,-4573,-6053,ARG,trawlers,5.411944444444444,0,1
2012-01-22,-3805,-5754,ARG,trawlers,184.70152777777778,0,13
2012-01-22,-4572,-6187,ARG,trawlers,1.597361111111111,0,1
2012-01-22,-4572,-6052,ARG,trawlers,1.5997222222222223,0,1
2012-01-22,-4572,-6042,ARG,trawlers,0.77499999999999991,0.77499999999999991,1
2012-01-22,-3804,-5753,ARG,trawlers,0.75555555555555554,0,1
2012-01-22,-3804,-5752,ARG,trawlers,8.1772222222222215,0,3
2012-01-22,-3803,-5752,ARG,trawlers,1.3070833333333334,0,2
2012-01-22,-4570,-6041,ARG,trawlers,3.6916666666666664,3.6916666666666664,1
2012-01-22,-4570,-6050,ARG,trawlers,3.7044444444444444,0,1
2012-01-22,-4570,-6035,ARG,squid_jigger,7.2248611111111112,0,1
2012-01-22,-4570,-6033,ARG,trawlers,1.5683333333333334,0,1
2012-01-22,-4058,-5793,ARG,trawlers,6.2358333333333338,0,1
2012-01-22,-4058,-5949,ARG,drifting_longlines,2.1327777777777777,0,1
2012-01-22,-4569,-6036,ARG,trawlers,5.3944444444444439,0,1
2012-01-22,-4057,-5947,ARG,drifting_longlines,0.76027777777777783,0,1
2012-01-22,-4568,-6032,ARG,trawlers,0.775,0,1
2012-01-22,-4567,-6160,ARG,trawlers,1.6040277777777776,0,1
2012-01-22,-4567,-6159,ARG,trawlers,0.77319444444444452,0.77319444444444452,1
2012-01-22,-4567,-6032,ARG,trawlers,5.3281944444444447,0,1
2012-01-22,-4311,-5885,ARG,trawlers,0.79694444444444446,0,1
2012-01-22,-4055,-5996,ARG,drifting_longlines,5.3290277777777781,0,1
2012-01-22,-4566,-6160,ARG,trawlers,1.669861111111111,0,1
2012-01-22,-4566,-6060,ARG,trawlers,4.6294444444444443,0,1
2012-01-22,-4566,-6159,ARG,trawlers,0.8652777777777777,0.8652777777777777,1
2012-01-22,-4566,-6059,ARG,trawlers,1.9884722222222222,0,1
2012-01-22,-4310,-5884,ARG,trawlers,0.05,0,1
2012-01-22,-4565,-6044,ARG,trawlers,0.83611111111111114,0.83611111111111114,1
2012-01-22,-4565,-6076,ARG,drifting_longlines,6.2498611111111106,0,1
2012-01-22,-4309,-5884,ARG,trawlers,0.64486111111111111,0,1
2012-01-22,-4564,-6043,ARG,trawlers,2.8930555555555553,2.8930555555555553,1
2012-01-22,-4564,-6165,ARG,trawlers,1.6284722222222223,0,1
2012-01-22,-4564,-6634,ARG,fixed_gear,2.9052777777777781,0,1
2012-01-22,-4564,-6192,ARG,trawlers,1.5683333333333334,0,1
2012-01-22,-4564,-6194,ARG,trawlers,1.597361111111111,0.80583333333333329,1
2012-01-22,-4564,-6029,ARG,trawlers,5.0152777777777775,0,1
2012-01-22,-4563,-6622,ARG,fixed_gear,5.4545833333333329,0,1
2012-01-22,-4563,-6200,ARG,trawlers,0.76013888888888881,0,1
2012-01-22,-4563,-6027,ARG,trawlers,1.5751388888888889,0,1
2012-01-22,-4563,-6623,ARG,fixed_gear,0.80402777777777779,0,1
2012-01-22,-4562,-6168,ARG,trawlers,3.6734722222222222,0,1
2012-01-22,-4562,-6051,ARG,trawlers,5.6425,0,1
2012-01-22,-4562,-6200,ARG,trawlers,0.83319444444444435,0,1
2012-01-22,-4561,-6168,ARG,trawlers,2.8990277777777775,2.8990277777777775,1
