date,lat_bin,lon_bin,flag,geartype,vessel_hours,fishing_hours,mmsi_present
2012-02-13,-4607,-6493,ARG,trawlers,1.2055555555555555,1.2055555555555555,1
2012-02-13,-4606,-6506,ARG,trawlers,4.3036111111111106,4.3036111111111106,1
2012-02-13,-3838,-5769,ARG,trawlers,4.0047222222222221,0,1
2012-02-13,-4605,-6520,ARG,trawlers,4.0429166666666667,4.0429166666666667,1
2012-02-13,-4605,-6510,ARG,trawlers,5.04875,5.04875,1
2012-02-13,-5116,-6320,ARG,trawlers,3.7616666666666667,0,1
2012-02-13,-4348,-6099,ARG,trawlers,4.284305555555556,0,1
2012-02-13,-4603,-6511,ARG,trawlers,1.0272222222222223,1.0272222222222223,1
2012-02-13,-4347,-6099,ARG,trawlers,0.80541666666666667,0,1
2012-02-13,-4602,-6517,ARG,trawlers,3.4820833333333332,3.4820833333333332,1
2012-02-13,-3834,-5752,ARG,trawlers,0.57763888888888892,0,1
2012-02-13,-4601,-6520,ARG,trawlers,0.77027777777777784,0.77027777777777784,1
2012-02-13,-4601,-6519,ARG,trawlers,0.08611111111111111,0.08611111111111111,1
2012-02-13,-4345,-6336,ARG,trawlers,0.8025,0,1
2012-02-13,-4344,-6337,ARG,trawlers,3.4723611111111112,0,1
2012-02-13,-3832,-5751,ARG,trawlers,0.097083333333333327,0,1
2012-02-13,-4599,-6618,ARG,fixed_gear,1.3497222222222223,1.3497222222222223,1
2012-02-13,-4599,-6622,ARG,fixed_gear,4.3615277777777779,4.3615277777777779,1
2012-02-13,-3831,-5751,ARG,trawlers,0.21125,0,1
2012-02-13,-4598,-6624,ARG,fixed_gear,0.75958333333333328,0.75958333333333328,1
2012-02-13,-4598,-6618,ARG,fixed_gear,0.79694444444444434,0.79694444444444434,1
2012-02-13,-4598,-6623,ARG,fixed_gear,0.78347222222222224,0.78347222222222224,1
2012-02-13,-4598,-6621,ARG,fixed_gear,0.5676388888888888,0.5676388888888888,1
2012-02-13,-4598,-6620,ARG,fixed_gear,0.27125,0.27125,1
