date,lat_bin,lon_bin,flag,geartype,vessel_hours,fishing_hours,mmsi_present
2012-01-28,-879,1324,AGO,purse_seines,13.015277777777779,0,1
2012-01-28,-4608,-6073,ARG,trawlers,1.5977777777777777,0,1
2012-01-28,-4608,-6164,ARG,trawlers,0.7575,0,1
2012-01-28,-4608,-6166,ARG,trawlers,3.8251388888888891,0,1
2012-01-28,-4608,-6585,ARG,fixed_gear,0.773611111111111,0,1
2012-01-28,-4608,-6077,ARG,trawlers,0.78902777777777777,0,1
2012-01-28,-4607,-6587,ARG,fixed_gear,0.29736111111111108,0,1
2012-01-28,-4606,-6072,ARG,trawlers,1.6026388888888889,0,1
2012-01-28,-4605,-6076,ARG,squid_jigger,6.4248611111111114,0,1
2012-01-28,-3837,-5759,ARG,trawlers,3.5381944444444442,0,1
2012-01-28,-4604,-6593,ARG,fixed_gear,0.25430555555555556,0,1
2012-01-28,-4604,-6594,ARG,fixed_gear,0.80583333333333329,0,1
2012-01-28,-4348,-6112,ARG,trawlers,0.7894444444444445,0,1
2012-01-28,-3836,-5750,ARG,trawlers,0.48694444444444451,0,1
2012-01-28,-4603,-6355,ARG,trawlers,0.77388888888888885,0,1
2012-01-28,-4603,-6199,ARG,trawlers,1.7972222222222225,0,1
2012-01-28,-4603,-6200,ARG,trawlers,1.5223611111111111,0,2
2012-01-28,-4347,-6110,ARG,trawlers,0.815,0,1
2012-01-28,-4347,-6354,ARG,trawlers,0.76125,0,1
2012-01-28,-3835,-5749,ARG,trawlers,0.86,0,1
2012-01-28,-4858,-6475,ARG,drifting_longlines,4.5391666666666666,0,1
2012-01-28,-4602,-6200,ARG,trawlers,1.6069444444444443,0,2
2012-01-28,-4602,-6355,ARG,trawlers,0.80013888888888884,0,1
2012-01-28,-4602,-6074,ARG,trawlers,2.1070833333333332,2.1070833333333332,1
2012-01-28,-4602,-6131,ARG,trawlers,0.76847222222222222,0,1
2012-01-28,-4346,-6111,ARG,trawlers,1.0579166666666666,0,1
2012-01-28,-4601,-6128,ARG,trawlers,2.0055555555555555,0,1
2012-01-28,-4601,-6199,ARG,trawlers,2.92375,0,1
2012-01-28,-4345,-6109,ARG,trawlers,0.7844444444444445,0,1
2012-01-28,-4345,-6354,ARG,trawlers,0.37597222222222221,0,1
2012-01-28,-4600,-6244,ARG,trawlers,1.8784722222222221,0,1
2012-01-28,-4344,-6080,ARG,trawlers,1.9594444444444443,0,1
2012-01-28,-4088,-5912,ARG,trawlers,1.1336111111111111,0,1
2012-01-28,-4598,-6244,ARG,trawlers,0.79625,0,1
2012-01-28,-4598,-6381,ARG,trawlers,0.95277777777777783,0,1
2012-01-28,-4086,-5921,ARG,trawlers,0.7625,0,1
2012-01-28,-4085,-5921,ARG,trawlers,4.5487499999999992,0,1
2012-01-28,-4596,-6199,ARG,trawlers,0.838888888888889,0,1
2012-01-28,-4340,-6407,ARG,trawlers,0.77916666666666667,0,1
2012-01-28,-4338,-6408,ARG,trawlers,0.29194444444444445,0,1
2012-01-28,-4082,-5836,ARG,trawlers,1.9955555555555555,0,1
2012-01-28,-4081,-5836,ARG,trawlers,0.763888888888889,0,1
2012-01-28,-4592,-6200,ARG,trawlers,1.6012499999999998,0,2
2012-01-28,-4592,-6199,ARG,trawlers,1.9155555555555557,0,1
2012-01-28,-4080,-6489,ARG,trawlers,50.447499999999991,0,2
2012-01-28,-4591,-6200,ARG,trawlers,2.3730555555555557,0,2
2012-01-28,-3311,-5826,ARG,trawlers,1.277638888888889,0,1
2012-01-28,-5358,-6502,ARG,purse_seines,0.77055555555555555,0,1
2012-01-28,-4590,-6380,ARG,trawlers,0.27652777777777782,0,1
2012-01-28,-4334,-6074,ARG,trawlers,0.77708333333333335,0,1
2012-01-28,-4589,-6142,ARG,trawlers,0.7994444444444444,0,1
2012-01-28,-4589,-6070,ARG,trawlers,0.79708333333333337,0,1
2012-01-28,-4333,-6352,ARG,trawlers,0.33708333333333335,0,1
2012-01-28,-5356,-6502,ARG,purse_seines,0.091666666666666674,0,1
2012-01-28,-4588,-6380,ARG,trawlers,0.77777777777777779,0,1
2012-01-28,-4588,-6141,ARG,trawlers,0.76680555555555552,0,1
2012-01-28,-4588,-6069,ARG,trawlers,0.81097222222222221,0,1
2012-01-28,-4332,-6352,ARG,trawlers,0.78069444444444447,0,1
2012-01-28,-3820,-5750,ARG,trawlers,5.2943055555555549,0,1
2012-01-28,-5355,-6503,ARG,purse_seines,0.74194444444444441,0,1
2012-01-28,-4587,-6747,ARG,fixed_gear,24.88875,0,1
2012-01-28,-4587,-6070,ARG,squid_jigger,4.5502777777777776,0,1
2012-01-28,-4330,-6410,ARG,trawlers,0.24777777777777779,0,1
2012-01-28,-3818,-5748,ARG,trawlers,5.686805555555555,0,1
2012-01-28,-4329,-6410,ARG,trawlers,0.69833333333333325,0,1
2012-01-28,-4839,-6442,ARG,drifting_longlines,0.80569444444444438,0,1
2012-01-28,-4583,-6070,ARG,trawlers,1.9123611111111112,0,1
2012-01-28,-4838,-6440,ARG,drifting_longlines,0.78194444444444444,0,1
2012-01-28,-3814,-5737,ARG,trawlers,1.1019444444444444,0,1
2012-01-28,-4581,-6066,ARG,trawlers,3.1211111111111114,0,1
2012-01-28,-4581,-6353,ARG,trawlers,4.5238888888888891,0,1
2012-01-28,-4580,-6328,ARG,trawlers,1.1566666666666667,0,1
2012-01-28,-4324,-6093,ARG,trawlers,0.77888888888888885,0,1
2012-01-28,-4579,-6200,ARG,trawlers,2.361388888888889,0,1
2012-01-28,-4579,-6328,ARG,trawlers,0.75944444444444448,0,1
2012-01-28,-4067,-5823,ARG,trawlers,1.2006944444444445,0,1
2012-01-28,-4578,-6199,ARG,trawlers,3.1068055555555558,0,1
2012-01-28,-4322,-6092,ARG,trawlers,0.99805555555555547,0,1
2012-01-28,-4577,-6199,ARG,trawlers,2.7206944444444447,0,1
2012-01-28,-4577,-6069,ARG,trawlers,2.3611111111111112,0,1
2012-01-28,-4577,-6233,ARG,trawlers,0.79638888888888892,0,1
2012-01-28,-4321,-6103,ARG,trawlers,1.794861111111111,0,1
2012-01-28,-4065,-5822,ARG,trawlers,0.77652777777777782,0,1
2012-01-28,-4576,-6062,ARG,trawlers,4.5998611111111112,0,1
2012-01-28,-4576,-6070,ARG,trawlers,1.8133333333333332,0,1
2012-01-28,-4576,-6063,ARG,trawlers,0.82500000000000007,0,1
2012-01-28,-4576,-6064,ARG,trawlers,12.875,0,1
2012-01-28,-4576,-6200,ARG,trawlers,1.99,0,1
2012-01-28,-4576,-6066,ARG,trawlers,6.8997222222222216,0,1
2012-01-28,-4320,-5962,ARG,trawlers,3.233888888888889,0,1
2012-01-28,-4320,-6065,ARG,trawlers,1.793611111111111,0,1
2012-01-28,-4064,-6147,ARG,trawlers,2.1320833333333331,0,1
2012-01-28,-4575,-6232,ARG,trawlers,0.78194444444444444,0,1
2012-01-28,-4062,-5895,ARG,trawlers,0.80569444444444438,0,1
2012-01-28,-3806,-5737,ARG,trawlers,1.0866666666666667,0,1
2012-01-28,-3805,-5754,ARG,drifting_longlines,54.701111111111118,0,2
2012-01-28,-3805,-5755,ARG,trawlers,21.660555555555554,0,1
2012-01-28,-3805,-5754,ARG,trawlers,294.49944444444441,0,15
2012-01-28,-4572,-6199,ARG,trawlers,4.5919444444444446,0,1
2012-01-28,-4060,-5894,ARG,trawlers,0.79375,0,1
2012-01-28,-5339,-6484,ARG,purse_seines,3.0637499999999998,0,1
2012-01-28,-5339,-6485,ARG,purse_seines,0.73888888888888882,0,1
2012-01-28,-3803,-5752,ARG,trawlers,6.4750000000000005,0,1
2012-01-28,-4569,-6066,ARG,trawlers,5.6556944444444444,0,1
2012-01-28,-4313,-6086,ARG,trawlers,1.0388888888888888,0,1
2012-01-28,-4056,-5825,ARG,trawlers,0.77222222222222225,0,1
2012-01-28,-4567,-6065,ARG,squid_jigger,1.5501388888888887,0,1
2012-01-28,-4311,-6039,ARG,drifting_longlines,4.5820833333333333,0,1
2012-01-28,-4055,-5824,ARG,trawlers,4.5413888888888883,0,1
2012-01-28,-4054,-5856,ARG,trawlers,3.4148611111111111,0,1
2012-01-28,-4565,-6136,ARG,trawlers,0.78055555555555556,0,1
2012-01-28,-4309,-6039,ARG,drifting_longlines,0.77916666666666667,0,1
2012-01-28,-4564,-6200,ARG,trawlers,2.3802777777777777,0,1
2012-01-28,-4564,-6198,ARG,trawlers,1.9366666666666665,0,1
2012-01-28,-4308,-5918,ARG,trawlers,5.6727777777777781,0,1
2012-01-28,-4308,-5941,ARG,trawlers,4.5390277777777772,0,1
2012-01-28,-4819,-6408,ARG,drifting_longlines,0.77888888888888885,0,1
2012-01-28,-4563,-6135,ARG,trawlers,1.0936111111111111,0,1
2012-01-28,-4563,-6377,ARG,trawlers,0.76666666666666672,0,1
2012-01-28,-4818,-6406,ARG,drifting_longlines,1.0798611111111112,0,1
2012-01-28,-4562,-6198,ARG,trawlers,1.5776388888888886,0,1
2012-01-28,-4306,-5940,ARG,trawlers,0.80625,0,1
2012-01-28,-4306,-6418,ARG,trawlers,0.72513888888888889,0,1
2012-01-28,-4561,-6377,ARG,trawlers,0.8,0,1
2012-01-28,-4305,-5922,ARG,trawlers,4.3777777777777782,0,1
2012-01-28,-4305,-6418,ARG,trawlers,0.082361111111111107,0,1
2012-01-28,-4560,-6063,ARG,trawlers,1.3505555555555555,0,1
2012-01-28,-4304,-6066,ARG,trawlers,3.5872222222222221,0,1
2012-01-28,-4559,-6063,ARG,trawlers,1.6223611111111109,0,1
2012-01-28,-4303,-6349,ARG,trawlers,0.8058333333333334,0,1
2012-01-28,-4303,-6066,ARG,trawlers,0.7763888888888888,0,1
2012-01-28,-4303,-6418,ARG,trawlers,0.044444444444444446,0,1
2012-01-28,-4558,-6199,ARG,trawlers,1.8118055555555554,0,1
2012-01-28,-4558,-6062,ARG,trawlers,2.3068055555555556,0,1
2012-01-28,-4302,-6349,ARG,trawlers,0.041527777777777775,0,1
2012-01-28,-4557,-6061,ARG,trawlers,1.5920833333333333,0,1
2012-01-28,-4557,-6063,ARG,trawlers,1.7784722222222222,0,1
2012-01-28,-4557,-6064,ARG,trawlers,4.2590277777777779,0,1
2012-01-28,-4557,-6060,ARG,trawlers,1.617361111111111,0,1
2012-01-28,-4301,-6349,ARG,trawlers,0.79152777777777783,0,1
2012-01-28,-4556,-6060,ARG,trawlers,2.3747222222222222,0,1
2012-01-28,-4556,-6059,ARG,trawlers,5.6594444444444445,0,1
2012-01-28,-4556,-6043,ARG,trawlers,0.75555555555555554,0,1
2012-01-28,-4555,-6062,ARG,trawlers,4.57625,0,1
2012-01-28,-4555,-6058,ARG,trawlers,2.4190277777777776,0,1
2012-01-28,-4555,-6042,ARG,trawlers,3.806111111111111,0,1
2012-01-28,-4555,-6059,ARG,trawlers,1.1523611111111109,0,1
2012-01-28,-4555,-6061,ARG,trawlers,1.5938888888888889,0,1
2012-01-28,-4554,-6040,ARG,trawlers,1.9695833333333332,0,1
2012-01-28,-4554,-6043,ARG,trawlers,5.3491666666666662,0,1
2012-01-28,-4554,-6054,ARG,trawlers,1.5804166666666668,0,1
2012-01-28,-4554,-6042,ARG,trawlers,1.5265277777777777,0,1
2012-01-28,-4554,-6056,ARG,trawlers,1.76125,0,1
2012-01-28,-4554,-6222,ARG,trawlers,4.5147222222222219,0,1
2012-01-28,-4554,-6337,ARG,trawlers,0.75847222222222221,0,1
2012-01-28,-4042,-5830,ARG,trawlers,4.5494444444444442,0,1
2012-01-28,-4042,-5811,ARG,trawlers,0.77097222222222217,0,1
2012-01-28,-4553,-6057,ARG,trawlers,1.8558333333333332,0,1
2012-01-28,-4553,-6038,ARG,trawlers,4.9425,0,1
2012-01-28,-4553,-6059,ARG,trawlers,3.2175000000000002,0,1
2012-01-28,-4553,-6053,ARG,trawlers,5.3515277777777772,0,1
2012-01-28,-4553,-6338,ARG,trawlers,0.08625,0,1
2012-01-28,-4553,-6055,ARG,trawlers,6.95,0,2
2012-01-28,-4041,-5810,ARG,trawlers,4.53625,0,1
2012-01-28,-3529,-5681,ARG,trawlers,4.524861111111111,0,1
2012-01-28,-4552,-6058,ARG,squid_jigger,2.6376388888888891,0,1
2012-01-28,-4552,-6054,ARG,trawlers,6.45,0,1
2012-01-28,-4552,-6056,ARG,squid_jigger,1.5941666666666667,1.5941666666666667,1
