date,lat_bin,lon_bin,flag,geartype,vessel_hours,fishing_hours,mmsi_present
2012-02-07,-4352,-6082,ARG,trawlers,1.5958333333333332,0,1
2012-02-07,-3836,-5751,ARG,trawlers,0.8223611111111111,0,1
2012-02-07,-3835,-5751,ARG,trawlers,5.5586111111111114,0,1
2012-02-07,-4088,-5815,ARG,trawlers,0.60069444444444442,0,1
2012-02-07,-4599,-6652,ARG,fixed_gear,4.5247222222222225,4.5247222222222225,1
2012-02-07,-4599,-6646,ARG,fixed_gear,0.74444444444444446,0.74444444444444446,1
2012-02-07,-4599,-6647,ARG,fixed_gear,3.2126388888888888,3.2126388888888888,1
2012-02-07,-4343,-6243,ARG,drifting_longlines,4.4095833333333339,0,1
2012-02-07,-4087,-5815,ARG,trawlers,0.28583333333333338,0,1
2012-02-07,-4597,-6647,ARG,fixed_gear,0.73777777777777775,0.73777777777777775,1
2012-02-07,-4597,-6648,ARG,fixed_gear,3.7943055555555558,3.7943055555555558,1
2012-02-07,-4341,-5949,ARG,trawlers,0.78638888888888892,0,1
2012-02-07,-4339,-5949,ARG,trawlers,0.11680555555555555,0,1
2012-02-07,-4594,-6649,ARG,fixed_gear,1.4434722222222223,1.4434722222222223,1
2012-02-07,-4337,-6264,ARG,drifting_longlines,0.75708333333333333,0,1
2012-02-07,-4337,-5948,ARG,trawlers,0.78013888888888894,0,1
2012-02-07,-4336,-6268,ARG,drifting_longlines,0.15597222222222223,0,1
2012-02-07,-4336,-5937,ARG,trawlers,4.8925,0,1
2012-02-07,-4336,-6023,ARG,drifting_longlines,4.5236111111111112,0,1
2012-02-07,-4336,-6269,ARG,drifting_longlines,0.66875,0,1
2012-02-07,-4080,-6489,ARG,trawlers,24.469444444444441,0,1
2012-02-07,-4591,-6649,ARG,fixed_gear,0.67625,0.67625,1
2012-02-07,-4590,-6648,ARG,fixed_gear,0.81777777777777783,0.81777777777777783,1
2012-02-07,-4590,-6649,ARG,fixed_gear,0.11527777777777778,0.11527777777777778,1
2012-02-07,-4078,-5813,ARG,trawlers,0.73319444444444448,0,1
2012-02-07,-4333,-5943,ARG,trawlers,4.4275,0,1
2012-02-07,-4588,-6648,ARG,fixed_gear,1.50125,1.50125,1
2012-02-07,-4332,-6019,ARG,trawlers,0.81180555555555556,0,1
2012-02-07,-4587,-6646,ARG,fixed_gear,0.78708333333333347,0.78708333333333347,1
2012-02-07,-4331,-6018,ARG,trawlers,0.79444444444444451,0,1
2012-02-07,-4075,-6490,ARG,trawlers,1.5662500000000001,0,1
2012-02-07,-4586,-6646,ARG,fixed_gear,0.81472222222222213,0.81472222222222213,1
2012-02-07,-4330,-6291,ARG,drifting_longlines,0.087777777777777774,0,1
