date,lat_bin,lon_bin,flag,geartype,vessel_hours,fishing_hours,mmsi_present
2012-02-03,-4607,-6617,ARG,fixed_gear,2.425,2.425,1
2012-02-03,-4606,-6187,ARG,trawlers,5.6833333333333336,0,1
2012-02-03,-3837,-5752,ARG,squid_jigger,0.77791666666666659,0,1
2012-02-03,-4604,-6616,ARG,fixed_gear,1.0422222222222222,1.0422222222222222,1
2012-02-03,-4604,-6615,ARG,fixed_gear,0.80569444444444438,0.80569444444444438,1
2012-02-03,-4603,-6615,ARG,fixed_gear,0.77277777777777779,0.77277777777777779,1
2012-02-03,-3835,-5752,ARG,squid_jigger,5.2016666666666671,0,1
2012-02-03,-4602,-6187,ARG,trawlers,3.5184722222222224,0,1
2012-02-03,-4601,-6616,ARG,fixed_gear,4.524861111111111,4.524861111111111,1
2012-02-03,-4601,-6187,ARG,trawlers,1.5709722222222222,0,1
2012-02-03,-4601,-6615,ARG,fixed_gear,0.997638888888889,0.997638888888889,1
2012-02-03,-4089,-5934,ARG,drifting_longlines,0.96388888888888891,0,1
2012-02-03,-4600,-6194,ARG,trawlers,0.75555555555555554,0,1
2012-02-03,-4600,-6195,ARG,trawlers,4.96375,0,1
2012-02-03,-4598,-6626,ARG,fixed_gear,3.1805555555555554,3.1805555555555554,1
2012-02-03,-3829,-5759,ARG,trawlers,1.53875,0,1
2012-02-03,-4595,-6190,ARG,trawlers,6.4511111111111106,0,1
2012-02-03,-4595,-6183,ARG,trawlers,4.3354166666666671,0,1
2012-02-03,-4595,-6626,ARG,fixed_gear,3.0141666666666667,3.0141666666666667,1
2012-02-03,-4595,-6327,ARG,trawlers,4.4963888888888892,0,1
2012-02-03,-4595,-6165,ARG,trawlers,3.8645833333333335,0,1
2012-02-03,-4083,-5930,ARG,drifting_longlines,0.28013888888888888,0,1
2012-02-03,-4594,-6192,ARG,trawlers,2.4570833333333333,2.4570833333333333,1
2012-02-03,-4594,-6193,ARG,trawlers,0.23041666666666666,0.23041666666666666,1
2012-02-03,-4593,-6647,ARG,fixed_gear,0.80708333333333337,0.80708333333333337,1
