date,lat_bin,lon_bin,flag,geartype,vessel_hours,fishing_hours,mmsi_present
2012-02-21,-4864,-6334,ARG,squid_jigger,0.17388888888888887,0,1
2012-02-21,-4864,-6333,ARG,squid_jigger,0.64611111111111108,0,1
2012-02-21,-4608,-6193,ARG,trawlers,0.22111111111111112,0,1
2012-02-21,-4608,-6559,ARG,fixed_gear,1.5888888888888888,1.5888888888888888,1
2012-02-21,-4608,-6225,ARG,trawlers,5.6375,0,1
2012-02-21,-5375,-6391,ARG,purse_seines,2.7708333333333335,2.7708333333333335,1
2012-02-21,-5375,-6392,ARG,purse_seines,1.0515277777777778,1.0515277777777778,1
2012-02-21,-4863,-6160,ARG,trawlers,0.9851388888888889,0,1
2012-02-21,-4863,-6340,ARG,squid_jigger,0.20166666666666666,0,1
2012-02-21,-4607,-6561,ARG,fixed_gear,0.7959722222222223,0.7959722222222223,1
2012-02-21,-4351,-5972,ARG,trawlers,5.66125,0,1
2012-02-21,-5374,-6392,ARG,purse_seines,0.78458333333333341,0.78458333333333341,1
2012-02-21,-4862,-6342,ARG,squid_jigger,0.77666666666666662,0,1
2012-02-21,-4606,-6192,ARG,trawlers,0.75694444444444442,0,1
2012-02-21,-4606,-6561,ARG,fixed_gear,1.9783333333333333,1.9783333333333333,1
2012-02-21,-4605,-6564,ARG,fixed_gear,2.7406944444444443,2.7406944444444443,1
2012-02-21,-1789,3688,ARG,trawlers,10.685972222222222,0,1
2012-02-21,-4860,-6490,ARG,trawlers,5.68625,0,1
2012-02-21,-4604,-6198,ARG,trawlers,1.9591666666666665,0,1
2012-02-21,-4859,-6490,ARG,trawlers,0.80555555555555547,0,1
2012-02-21,-4857,-6175,ARG,squid_jigger,0.77777777777777768,0,1
2012-02-21,-4601,-6500,ARG,fixed_gear,0.80777777777777782,0.80777777777777782,1
2012-02-21,-4601,-6499,ARG,fixed_gear,0.783888888888889,0.783888888888889,1
2012-02-21,-3833,-5762,ARG,trawlers,6.0672222222222221,0,1
2012-02-21,-4856,-6370,ARG,squid_jigger,0.77222222222222225,0,1
2012-02-21,-4856,-6165,ARG,trawlers,3.7445833333333334,0,1
2012-02-21,-4600,-6515,ARG,trawlers,3.559166666666667,3.559166666666667,1
2012-02-21,-4855,-6372,ARG,squid_jigger,5.6720833333333331,0,1
2012-02-21,-4599,-6135,ARG,trawlers,0.76402777777777775,0,1
2012-02-21,-4598,-6516,ARG,trawlers,1.635,1.635,1
2012-02-21,-4598,-6519,ARG,trawlers,0.83208333333333329,0.83208333333333329,1
2012-02-21,-4598,-6515,ARG,trawlers,9.2154166666666661,9.2154166666666661,1
2012-02-21,-4598,-6628,ARG,fixed_gear,7.4537499999999994,7.4537499999999994,1
2012-02-21,-4598,-6626,ARG,fixed_gear,0.72930555555555565,0.72930555555555565,1
2012-02-21,-4086,-5937,ARG,trawlers,2.7358333333333333,0,1
2012-02-21,-4597,-6522,ARG,trawlers,6.0461111111111112,6.0461111111111112,1
2012-02-21,-4597,-6518,ARG,trawlers,0.77513888888888882,0.77513888888888882,1
2012-02-21,-4597,-6135,ARG,trawlers,0.78611111111111109,0,1
2012-02-21,-4597,-6521,ARG,trawlers,0.58305555555555555,0.58305555555555555,1
2012-02-21,-4597,-6636,ARG,fixed_gear,5.5322222222222219,5.5322222222222219,1
2012-02-21,-4597,-6519,ARG,trawlers,0.7779166666666667,0.7779166666666667,1
2012-02-21,-4596,-6519,ARG,trawlers,1.0126388888888889,1.0126388888888889,1
2012-02-21,-4596,-6624,ARG,fixed_gear,0.79152777777777783,0.79152777777777783,1
2012-02-21,-4596,-6629,ARG,fixed_gear,2.7511111111111113,2.7511111111111113,1
2012-02-21,-4596,-6622,ARG,fixed_gear,1.6543055555555553,1.6543055555555553,1
2012-02-21,-5363,-6393,ARG,purse_seines,1.548888888888889,1.548888888888889,1
2012-02-21,-4851,-6179,ARG,squid_jigger,0.96986111111111106,0,1
2012-02-21,-4595,-6622,ARG,fixed_gear,0.20569444444444446,0.20569444444444446,1
2012-02-21,-4595,-6626,ARG,fixed_gear,0.78916666666666679,0.78916666666666679,1
2012-02-21,-4595,-6631,ARG,fixed_gear,0.78055555555555545,0.78055555555555545,1
2012-02-21,-4595,-6632,ARG,fixed_gear,0.8125,0.8125,1
2012-02-21,-4595,-6196,ARG,trawlers,6.450277777777778,0,1
2012-02-21,-4595,-6633,ARG,fixed_gear,2.7986111111111112,2.7986111111111112,1
